id,date,category,actor_type,technique,asset,region,severity,status,loss_usd_thousands,description
T0188,28/10/2025,Malware,Hacktivist,Deepfake Voice,Data Platform & Analytics,Europe,High,Detected,44.63,Synthetic banking-sector CTI event
T0189,26/2/2026,Ransomware,Insider,API Token Theft,Data Platform & Analytics,Middle East & Africa,Critical,Contained,346.43,Synthetic banking-sector CTI event
T0190,20/9/2025,API Abuse,Cybercrime,ATM Jackpotting,Data Platform & Analytics,Asia-Pacific,High,Detected,42.15,Synthetic banking-sector CTI event
T0191,14/2/2026,DDoS,Insider,Deepfake Voice,Core Banking System,North America,Critical,Detected,67.48,Synthetic banking-sector CTI event
T0192,23/7/2025,Phishing,Insider,SIM Swap,Data Platform & Analytics,Global,Medium,Recovered,474.67,Synthetic banking-sector CTI event
T0193,1/10/2025,API Abuse,Cybercrime,Deepfake Voice,Data Platform & Analytics,Europe,Critical,Impacted,326.53,Synthetic banking-sector CTI event
T0194,30/7/2025,Malware,Cybercrime,Deepfake Voice,Digital Channels (Mobile/Web),Latin America,Critical,Detected,134.58,Synthetic banking-sector CTI event
T0195,5/8/2025,API Abuse,Nation-State,Ransomware,SWIFT/RTGS Gateway,Asia-Pacific,Medium,Detected,72.19,Synthetic banking-sector CTI event
T0196,1/5/2025,API Abuse,Nation-State,API Token Theft,Core Banking System,Middle East & Africa,High,Impacted,356.22,Synthetic banking-sector CTI event
T0197,31/12/2025,Ransomware,Insider,Deepfake Voice,SWIFT/RTGS Gateway,Middle East & Africa,Medium,Impacted,256.83,Synthetic banking-sector CTI event
T0198,26/5/2025,Nation-State,Nation-State,Malware Dropper,Tokenized Asset Platform,Asia-Pacific,Low,Impacted,279.24,Synthetic banking-sector CTI event
T0199,29/9/2025,API Abuse,Nation-State,Phishing Email,Core Banking System,Europe,Critical,Recovered,265.22,Synthetic banking-sector CTI event
T0200,20/10/2025,Malware,Nation-State,ATM Jackpotting,SWIFT/RTGS Gateway,Global,Critical,Recovered,341.65,Synthetic banking-sector CTI event
T0201,17/9/2025,Insider,Nation-State,Deepfake Voice,Digital Channels (Mobile/Web),Latin America,Low,Detected,261.46,Synthetic banking-sector CTI event
T0202,27/8/2025,Insider,Nation-State,ATM Jackpotting,SWIFT/RTGS Gateway,North America,High,Impacted,423.74,Synthetic banking-sector CTI event
T0203,31/7/2025,Nation-State,Insider,Deepfake Voice,SWIFT/RTGS Gateway,Europe,Low,Contained,297.95,Synthetic banking-sector CTI event
T0204,16/1/2026,Insider,Nation-State,ATM Jackpotting,Tokenized Asset Platform,Latin America,Low,Detected,45.21,Synthetic banking-sector CTI event
T0205,16/2/2026,Ransomware,Nation-State,SIM Swap,Data Platform & Analytics,Middle East & Africa,Low,Recovered,445.05,Synthetic banking-sector CTI event
T0206,29/12/2025,Ransomware,Insider,API Token Theft,Payment Processing Infrastructure,Middle East & Africa,Critical,Impacted,229.5,Synthetic banking-sector CTI event
T0207,12/3/2026,Fraud,Nation-State,API Token Theft,Digital Channels (Mobile/Web),Asia-Pacific,Critical,Contained,173.4,Synthetic banking-sector CTI event
T0208,6/6/2025,Phishing,Insider,ATM Jackpotting,Digital Channels (Mobile/Web),North America,High,Detected,162.96,Synthetic banking-sector CTI event
T0209,18/11/2025,Malware,Insider,API Token Theft,Payment Processing Infrastructure,North America,Low,Detected,148.65,Synthetic banking-sector CTI event
T0210,7/10/2025,DDoS,Nation-State,Deepfake Voice,Tokenized Asset Platform,Europe,High,Contained,382.75,Synthetic banking-sector CTI event
T0211,5/12/2025,API Abuse,Hacktivist,Ransomware,Digital Channels (Mobile/Web),Global,Low,Recovered,255.2,Synthetic banking-sector CTI event
T0212,26/7/2025,Nation-State,Insider,Credential Stuffing,Core Banking System,Europe,Critical,Recovered,146.45,Synthetic banking-sector CTI event
T0213,29/3/2025,Malware,Hacktivist,Deepfake Voice,Customer Identity & Authentication,Middle East & Africa,High,Recovered,186.14,Synthetic banking-sector CTI event
T0214,16/10/2025,Fraud,Nation-State,ATM Jackpotting,Data Platform & Analytics,Europe,Low,Recovered,254.61,Synthetic banking-sector CTI event
T0215,31/12/2025,Ransomware,Cybercrime,Deepfake Voice,Core Banking System,Asia-Pacific,High,Impacted,281.13,Synthetic banking-sector CTI event
T0216,28/9/2025,Insider,Nation-State,SIM Swap,Data Platform & Analytics,Global,Low,Detected,72.83,Synthetic banking-sector CTI event
T0217,11/9/2025,API Abuse,Hacktivist,Deepfake Voice,Data Platform & Analytics,Latin America,Medium,Impacted,466.03,Synthetic banking-sector CTI event
T0218,4/9/2025,Insider,Hacktivist,Ransomware,Data Platform & Analytics,Europe,Critical,Impacted,240.07,Synthetic banking-sector CTI event
T0219,2/4/2025,Phishing,Insider,Phishing Email,Digital Channels (Mobile/Web),Latin America,High,Detected,300.47,Synthetic banking-sector CTI event
T0220,7/8/2025,Nation-State,Cybercrime,API Token Theft,Payment Processing Infrastructure,Latin America,Critical,Contained,411.72,Synthetic banking-sector CTI event
T0221,27/7/2025,Fraud,Cybercrime,Malware Dropper,Core Banking System,Asia-Pacific,High,Recovered,79.96,Synthetic banking-sector CTI event
T0222,13/3/2026,Nation-State,Hacktivist,API Token Theft,Tokenized Asset Platform,Middle East & Africa,Low,Contained,261.75,Synthetic banking-sector CTI event
T0223,6/1/2026,Phishing,Hacktivist,SIM Swap,Customer Identity & Authentication,North America,Critical,Impacted,275.41,Synthetic banking-sector CTI event
T0224,6/3/2026,Ransomware,Hacktivist,Malware Dropper,Payment Processing Infrastructure,Europe,High,Contained,471.04,Synthetic banking-sector CTI event
T0225,24/8/2025,Ransomware,Nation-State,API Token Theft,Customer Identity & Authentication,Asia-Pacific,High,Impacted,147.46,Synthetic banking-sector CTI event
T0226,12/1/2026,DDoS,Hacktivist,ATM Jackpotting,Tokenized Asset Platform,North America,High,Detected,147.38,Synthetic banking-sector CTI event
T0227,4/5/2025,Phishing,Hacktivist,Ransomware,SWIFT/RTGS Gateway,Asia-Pacific,Medium,Contained,414.84,Synthetic banking-sector CTI event
T0228,10/8/2025,Ransomware,Nation-State,Phishing Email,Data Platform & Analytics,Middle East & Africa,Medium,Contained,30.13,Synthetic banking-sector CTI event
T0229,21/12/2025,Nation-State,Nation-State,Credential Stuffing,Core Banking System,Asia-Pacific,High,Recovered,54.77,Synthetic banking-sector CTI event
T0230,3/6/2025,Fraud,Nation-State,SIM Swap,SWIFT/RTGS Gateway,Asia-Pacific,Critical,Contained,379.18,Synthetic banking-sector CTI event
T0231,19/8/2025,Phishing,Insider,Credential Stuffing,Tokenized Asset Platform,Global,Medium,Detected,457.05,Synthetic banking-sector CTI event
T0232,22/6/2025,DDoS,Nation-State,Credential Stuffing,Tokenized Asset Platform,Asia-Pacific,Critical,Contained,468.62,Synthetic banking-sector CTI event
T0233,20/8/2025,Fraud,Cybercrime,Ransomware,Data Platform & Analytics,Latin America,Low,Impacted,145.86,Synthetic banking-sector CTI event
T0234,16/2/2026,API Abuse,Nation-State,API Token Theft,Customer Identity & Authentication,North America,Low,Impacted,85.43,Synthetic banking-sector CTI event
T0235,14/11/2025,Ransomware,Nation-State,Credential Stuffing,SWIFT/RTGS Gateway,Europe,High,Contained,91.87,Synthetic banking-sector CTI event
T0236,15/2/2026,DDoS,Hacktivist,ATM Jackpotting,Core Banking System,Asia-Pacific,Low,Contained,490.93,Synthetic banking-sector CTI event
T0237,24/11/2025,Phishing,Nation-State,Credential Stuffing,Customer Identity & Authentication,Asia-Pacific,Medium,Recovered,378.11,Synthetic banking-sector CTI event
T0238,9/9/2025,Ransomware,Cybercrime,Ransomware,SWIFT/RTGS Gateway,Europe,Medium,Detected,335.55,Synthetic banking-sector CTI event
T0239,18/11/2025,Ransomware,Nation-State,SIM Swap,SWIFT/RTGS Gateway,Latin America,High,Detected,321.16,Synthetic banking-sector CTI event
T0240,23/8/2025,Phishing,Nation-State,Malware Dropper,Payment Processing Infrastructure,Asia-Pacific,Medium,Recovered,375.13,Synthetic banking-sector CTI event
